Input_R1,Input_R2,D7_R1,D7_R2,D14_R1,D14_R2
BUB1B_crRNA1327:1518-1544_T6_0.998_0.788451356298231,565,893,497,723,296,610
BUB1B_crRNA1450:1641-1667_B10_0.002976_0.455739961255736,364,578,323,457,296,502
BUB1B_crRNA1527:1718-1744_T17_0.9927_0.774757715316505,556,735,151,208,72,99
BUB1B_crRNA1528:1719-1745_T18_0.9924_0.774757715316505,412,504,266,356,203,178
BUB1B_crRNA1548:1739-1765_B16_0.005952_0.485635405065359,695,942,592,791,921,614
BUB1B_crRNA1628:1877-1903_B13_0.004299_0.464241266740263,400,547,381,533,297,495
BUB1B_crRNA1693:1942-1968_T4_0.9987_0.789961304039794,470,594,146,310,86,182
BUB1B_crRNA1937:2225-2251_B20_0.007275_0.487922389021324,552,741,479,684,264,489
BUB1B_crRNA1938:2226-2252_B7_0.001984_0.450984471571598,575,724,477,679,417,634
BUB1B_crRNA1939:2227-2253_B8_0.002315_0.455557138835856,628,913,600,856,316,759
BUB1B_crRNA2250:2538-2564_B17_0.006283_0.486025421958844,456,632,330,533,336,833
BUB1B_crRNA2489:2859-2885_B19_0.006944_0.487370024620381,372,561,356,492,372,588
BUB1B_crRNA2490:2860-2886_B11_0.003307_0.456869410525511,278,565,375,525,250,343
BUB1B_crRNA2542:2936-2962_T20_0.9914_0.771781848276463,501,772,138,195,60,70
BUB1B_crRNA2543:2937-2963_T19_0.9917_0.772661543745814,635,802,213,353,64,123
BUB1B_crRNA2609:3028-3054_B15_0.005622_0.483338673701733,655,867,585,828,548,609
C1orf174_crRNA0116:116-142_T9_0.9897_0.7756976775035,710,895,584,958,569,1968
C1orf174_crRNA0117:117-143_T4_0.9941_0.787351397337215,974,1135,695,752,526,505
C1orf174_crRNA0121:121-147_T7_0.9911_0.777458134322084,862,1121,698,889,410,1026
C1orf174_crRNA0160:160-186_B1_0.0007391_0.377954872457011,859,1080,689,1034,1081,2484
C1orf174_crRNA0161:161-187_B6_0.01848_0.462404034802653,823,1103,649,972,684,960
C1orf174_crRNA0162:162-188_B3_0.009608_0.446482661556823,525,604,402,563,295,700
C1orf174_crRNA0163:163-189_B9_0.02661_0.473710015118555,835,1131,745,948,548,735
C1orf174_crRNA0164:164-190_B8_0.02587_0.473710015118555,888,1175,820,1020,588,941
C1orf174_crRNA0165:165-191_B11_0.02809_0.47560530723033,624,1001,658,794,413,699
C1orf174_crRNA0234:234-260_B16_0.04065_0.493302893525077,558,849,495,723,395,1324
C1orf174_crRNA0303:303-329_T19_0.9815_0.763549862201477,517,598,396,593,339,397
C1orf174_crRNA0396:396-422_B18_0.04361_0.495123333117349,1009,1077,810,961,754,1552
C1orf174_crRNA0397:397-423_B5_0.01774_0.461426659442599,872,1064,747,953,536,1037
C1orf174_crRNA0411:411-437_T14_0.986_0.772661543745814,898,1176,663,1027,497,1790
C1orf174_crRNA0414:414-440_T8_0.9904_0.777143665039833,719,906,663,940,508,1032
C1orf174_crRNA0415:415-441_T5_0.9926_0.782893782120195,664,1016,651,999,429,1150
C1orf174_crRNA0416:416-442_T1_0.9993_0.819344084277066,955,1286,754,950,542,1187
C1orf174_crRNA0417:417-443_T6_0.9919_0.78065472202099,693,728,496,676,543,714
C1orf174_crRNA0418:418-444_T20_0.9771_0.759999458265931,791,1084,572,653,674,745
C1orf174_crRNA0487:510-536_B14_0.03622_0.486636402254398,688,825,583,858,303,649
C1orf174_crRNA0504:527-553_T16_0.9845_0.76660697748778,375,624,424,632,290,722
C1orf174_crRNA0505:528-554_T10_0.9889_0.775121155599704,486,559,348,523,236,407
